>>> ================================ RESTART ================================
>>> 
k =  2 , round used=  21 , E =  7202.90283995
k =  2 , round used=  7 , E =  7200.56362694
k =  2 , round used=  11 , E =  7211.63957747
k =  2 , round used=  9 , E =  7210.19360189
k =  2 , round used=  6 , E =  7199.59742764
k =  2 , round used=  14 , E =  7211.87466128
k =  2 , round used=  21 , E =  7202.90283995
k =  2 , round used=  16 , E =  7211.55817732
k =  2 , round used=  8 , E =  7158.14996973
k =  2 , round used=  15 , E =  7202.96752054
k =  2 , round used=  6 , E =  7199.95102818
k =  2 , round used=  14 , E =  7201.7528997
k =  2 , round used=  9 , E =  7158.13113662
k =  2 , round used=  15 , E =  7202.90283995
k =  2 , round used=  22 , E =  7202.90283995
k =  2 , round used=  7 , E =  7200.04194512
k =  2 , round used=  16 , E =  7211.61626527
k =  2 , round used=  11 , E =  7212.13041141
k =  2 , round used=  11 , E =  7158.20400443
k =  2 , round used=  15 , E =  7202.9056276
min:  12   7158.13113662
k =  3 , round used=  17 , E =  6826.26060963
k =  3 , round used=  18 , E =  6858.55563151
k =  3 , round used=  21 , E =  7044.96246129
k =  3 , round used=  23 , E =  6814.28116037
k =  3 , round used=  18 , E =  6883.66029786
k =  3 , round used=  14 , E =  6894.93402227
k =  3 , round used=  41 , E =  6838.29296512
k =  3 , round used=  26 , E =  6858.55563151
k =  3 , round used=  32 , E =  6838.50571556
k =  3 , round used=  10 , E =  6993.33002474
k =  3 , round used=  31 , E =  6976.22402499
k =  3 , round used=  24 , E =  6879.82113951
k =  3 , round used=  18 , E =  6894.90584974
k =  3 , round used=  10 , E =  7043.99967732
k =  3 , round used=  29 , E =  6812.3519148
k =  3 , round used=  19 , E =  6883.70851923
k =  3 , round used=  18 , E =  6883.28292258
k =  3 , round used=  12 , E =  7040.63542023
k =  3 , round used=  12 , E =  6892.96753562
k =  3 , round used=  16 , E =  6831.10175926
min:  14   6812.3519148
k =  4 , round used=  13 , E =  6673.65829288
k =  4 , round used=  26 , E =  6646.24941609
k =  4 , round used=  20 , E =  6646.8461913
k =  4 , round used=  31 , E =  6716.70357285
k =  4 , round used=  14 , E =  6560.42774415
k =  4 , round used=  11 , E =  6807.42782876
k =  4 , round used=  28 , E =  6559.17278133
k =  4 , round used=  13 , E =  6713.64614784
k =  4 , round used=  21 , E =  6557.11580295
k =  4 , round used=  21 , E =  6742.34847183
k =  4 , round used=  15 , E =  6664.47339166
k =  4 , round used=  13 , E =  6561.37089774
k =  4 , round used=  8 , E =  6829.62614655
k =  4 , round used=  17 , E =  6563.36714388
k =  4 , round used=  14 , E =  6568.78278357
k =  4 , round used=  46 , E =  6561.1194584
k =  4 , round used=  19 , E =  6561.07770581
k =  4 , round used=  15 , E =  6721.39588439
k =  4 , round used=  22 , E =  6561.16287621
k =  4 , round used=  18 , E =  6557.24033318
min:  8   6557.11580295
k =  5 , round used=  24 , E =  6425.11886244
k =  5 , round used=  14 , E =  6470.77062593
k =  5 , round used=  15 , E =  6589.96094958
k =  5 , round used=  13 , E =  6596.13533602
k =  5 , round used=  14 , E =  6670.22602067
k =  5 , round used=  14 , E =  6446.67757172
k =  5 , round used=  16 , E =  6423.3419921
k =  5 , round used=  25 , E =  6397.88243741
k =  5 , round used=  23 , E =  6410.01949568
k =  5 , round used=  23 , E =  6489.31352031
k =  5 , round used=  12 , E =  6705.56227774
k =  5 , round used=  27 , E =  6398.28511267
k =  5 , round used=  19 , E =  6410.89832033
k =  5 , round used=  15 , E =  6510.50455992
k =  5 , round used=  29 , E =  6422.06068081
k =  5 , round used=  25 , E =  6530.17009883
k =  5 , round used=  16 , E =  6499.57279994
k =  5 , round used=  17 , E =  6447.54882975
k =  5 , round used=  15 , E =  6480.93353155
k =  5 , round used=  20 , E =  6406.39115506
min:  7   6397.88243741
k =  6 , round used=  19 , E =  6254.97031211
k =  6 , round used=  24 , E =  6265.33588864
k =  6 , round used=  27 , E =  6257.86513125
k =  6 , round used=  14 , E =  6284.6243315
k =  6 , round used=  12 , E =  6551.7289773
k =  6 , round used=  14 , E =  6390.04271699
k =  6 , round used=  21 , E =  6282.2348936
k =  6 , round used=  20 , E =  6482.52505779
k =  6 , round used=  16 , E =  6280.30744218
k =  6 , round used=  19 , E =  6324.84041953
k =  6 , round used=  20 , E =  6343.32250016
k =  6 , round used=  23 , E =  6277.29743991
k =  6 , round used=  22 , E =  6307.08475944
k =  6 , round used=  17 , E =  6303.34597533
k =  6 , round used=  18 , E =  6277.26759974
k =  6 , round used=  30 , E =  6306.45452351
k =  6 , round used=  24 , E =  6276.97794985
k =  6 , round used=  31 , E =  6291.57028544
k =  6 , round used=  27 , E =  6340.19125247
k =  6 , round used=  15 , E =  6347.66297263
min:  0   6254.97031211
k =  7 , round used=  24 , E =  6209.41153691
k =  7 , round used=  15 , E =  6156.8231546
k =  7 , round used=  14 , E =  6161.35886659
k =  7 , round used=  29 , E =  6151.45317624
k =  7 , round used=  25 , E =  6328.81082648
k =  7 , round used=  19 , E =  6182.11006779
k =  7 , round used=  19 , E =  6142.49883555
k =  7 , round used=  26 , E =  6244.31235033
k =  7 , round used=  21 , E =  6224.76017984
k =  7 , round used=  22 , E =  6406.28768094
k =  7 , round used=  17 , E =  6172.93145383
k =  7 , round used=  13 , E =  6153.65479756
k =  7 , round used=  10 , E =  6218.08393554
k =  7 , round used=  18 , E =  6129.81632331
k =  7 , round used=  27 , E =  6142.16816752
k =  7 , round used=  37 , E =  6247.05977284
k =  7 , round used=  13 , E =  6232.93014282
k =  7 , round used=  28 , E =  6247.36944757
k =  7 , round used=  13 , E =  6500.80578022
k =  7 , round used=  23 , E =  6288.95708575
min:  13   6129.81632331
k =  8 , round used=  29 , E =  6051.52109561
k =  8 , round used=  22 , E =  6015.88277159
k =  8 , round used=  19 , E =  6151.38541805
k =  8 , round used=  16 , E =  6067.99614889
k =  8 , round used=  24 , E =  6161.28011431
k =  8 , round used=  30 , E =  6135.05796485
k =  8 , round used=  22 , E =  6061.08940133
k =  8 , round used=  20 , E =  6137.07634605
k =  8 , round used=  16 , E =  6119.14040581
k =  8 , round used=  22 , E =  6109.07341487
k =  8 , round used=  21 , E =  6083.42390434
k =  8 , round used=  13 , E =  6158.98145904
k =  8 , round used=  39 , E =  6036.8123485
k =  8 , round used=  21 , E =  6024.79676249
k =  8 , round used=  13 , E =  6105.42896162
k =  8 , round used=  21 , E =  6077.84605852
k =  8 , round used=  36 , E =  6119.05571593
k =  8 , round used=  30 , E =  6232.89300608
k =  8 , round used=  30 , E =  6076.27083185
k =  8 , round used=  17 , E =  6112.22545373
min:  1   6015.88277159
k =  9 , round used=  23 , E =  5996.07097945
k =  9 , round used=  18 , E =  5956.24492481
k =  9 , round used=  30 , E =  6022.44475309
k =  9 , round used=  22 , E =  5897.15836109
k =  9 , round used=  21 , E =  6031.0976847
k =  9 , round used=  28 , E =  5984.919392
k =  9 , round used=  13 , E =  6001.90786001
k =  9 , round used=  20 , E =  5977.0410633
k =  9 , round used=  18 , E =  5947.70478196
k =  9 , round used=  16 , E =  6052.32727842
k =  9 , round used=  23 , E =  5981.00274731
k =  9 , round used=  26 , E =  5964.1882376
k =  9 , round used=  14 , E =  5886.93866795
k =  9 , round used=  15 , E =  6103.96598459
k =  9 , round used=  13 , E =  6040.31648494
k =  9 , round used=  27 , E =  5930.38949538
k =  9 , round used=  13 , E =  5995.06008953
k =  9 , round used=  19 , E =  6019.41130646
k =  9 , round used=  23 , E =  6071.94660496
k =  9 , round used=  16 , E =  6039.70790369
min:  12   5886.93866795
k =  10 , round used=  23 , E =  5941.93682319
k =  10 , round used=  11 , E =  5952.56641224
k =  10 , round used=  15 , E =  5893.46424878
k =  10 , round used=  18 , E =  5932.65900825
k =  10 , round used=  29 , E =  5846.86293232
k =  10 , round used=  24 , E =  5886.44302613
k =  10 , round used=  21 , E =  5863.97198622
k =  10 , round used=  31 , E =  6006.06928841
k =  10 , round used=  22 , E =  6023.32718376
k =  10 , round used=  25 , E =  5845.10276758
k =  10 , round used=  26 , E =  5853.42789749
k =  10 , round used=  16 , E =  5924.12036726
k =  10 , round used=  22 , E =  5992.86207007
k =  10 , round used=  19 , E =  5847.76409253
k =  10 , round used=  16 , E =  5925.15251274
k =  10 , round used=  19 , E =  5924.53995744
k =  10 , round used=  23 , E =  5929.53456348
k =  10 , round used=  20 , E =  5937.93994211
k =  10 , round used=  17 , E =  5933.45113401
k =  10 , round used=  20 , E =  5986.18386108
min:  9   5845.10276758
